,sector,type,usd_per_ton,output,share_exporting_firms,cutoff,supply_data,country,country_ISO,final_demand,export
22,AUS_pcr,PCR,1000,1076.1,0.211262894,0,USD,AUS,AUS,233.7507485,227.34
23,AUS_sgr,SGR,1000,6926.3,0.193263359,0,USD,AUS,AUS,2803.244123,1338.6
24,AUS_ofd,OFD,1000,38494,0.093335845,0,USD,AUS,AUS,25184.95821,3592.87
25,AUS_b_t,B_T,1000,18100,0.122034254,0,USD,AUS,AUS,9522.079693,2208.82
26,AUS_tex,TEX,1000,4646.8,0.08476586,0,USD,AUS,AUS,2330.514328,393.89
27,AUS_wap,WAP,1000,3730.9,0.05841486,0,USD,AUS,AUS,2331.314972,217.94
28,AUS_lea,LEA,1000,622.57,0.458293846,0,USD,AUS,AUS,287.7176915,285.32
29,AUS_lum,LUM,1000,12976,0.077610203,0,USD,AUS,AUS,309.0612136,1007.07
30,AUS_ppp,PPP,1000,27753,0.054017944,0,USD,AUS,AUS,3353.329391,1499.16
31,AUS_p_c,P_C,1000,29836,0.108558788,0,USD,AUS,AUS,6859.07065,3238.96
32,AUS_chm,CHM,1000,19768,0.202738264,0,USD,AUS,AUS,4193.434087,4007.73
33,AUS_bph,BPH,1000,5946.5,0.400998907,0,USD,AUS,AUS,1779.044572,2384.54
34,AUS_rpp,RPP,1000,15673,0.055516493,0,USD,AUS,AUS,1287.205805,870.11
35,AUS_nmm,NMM,1000,18926,0.01480503,0,USD,AUS,AUS,655.6497165,280.2
36,AUS_i_s,I_S,1000,19993,0.089632371,0,USD,AUS,AUS,56.26407507,1792.02
37,AUS_nfm,NFM,1000,47468,0.621074829,0,USD,AUS,AUS,2022.66888,29481.18
38,AUS_fmp,FMP,1000,29932,0.033529667,0,USD,AUS,AUS,4469.378327,1003.61
39,AUS_ele,ELE,1000,15660,0.18854917,0,USD,AUS,AUS,6943.657293,2952.68
40,AUS_eeq,EEQ,1000,5580,0.204641577,0,USD,AUS,AUS,2740.141012,1141.9
41,AUS_ome,OME,1000,15450,0.236111327,0,USD,AUS,AUS,10172.86243,3647.92
42,AUS_mvh,MVH,1000,18910,0.164575357,0,USD,AUS,AUS,14838.34816,3112.12
43,AUS_otn,OTN,1000,12777,0.108389293,0,USD,AUS,AUS,5502.980918,1384.89
44,AUS_omf,OMF,1000,12670,0.18721468,0,USD,AUS,AUS,8569.101775,2372.01
45,AUS_ely,ELY,1000,40120,4.11E-05,0,USD,AUS,AUS,10146.32129,1.65
46,AUS_gdt,GDT,1000,2333.4,0.027174938,0,USD,AUS,AUS,226.1749271,63.41
